,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
0,"HP Envy 16 Image;HP Envy 16;See It;$1,389.99;at HP;(Opens in a new window)","Dell XPS 15 OLED (9520) Image;Dell XPS 15 OLED (9520);See It;$2,099.00;at Dell;(Opens in a new window)","Acer Predator Triton 300 SE (2022) Image;Acer Predator Triton 300 SE (2022);Check Stock;$1,369.99;at Amazon;(Opens in a new window)","Asus Zenbook S 13 Flip OLED Image;Asus Zenbook S 13 Flip OLED;See It;$1,499.99;at Amazon;(Opens in a new window)",HP Spectre x360 13.5 (2022) Image;HP Spectre x360 13.5 (2022);See It;$999.99;at HP;(Opens in a new window),Lenovo IdeaPad Duet 5 Chromebook Image;Lenovo IdeaPad Duet 5 Chromebook;See It;$379.00;at Lenovo;(Opens in a new window),"Asus ProArt Studiobook 16 OLED (H5600) Image;Asus ProArt Studiobook 16 OLED (H5600);See It;$1,649.99;at Amazon;(Opens in a new window)","Gigabyte Aero 15 OLED XC Image;Gigabyte Aero 15 OLED XC;Check Stock;$3,289.99;at Amazon;(Opens in a new window)","Asus Vivobook Pro 16X OLED Image;Asus Vivobook Pro 16X OLED;See It;$1,358.99;at Amazon;(Opens in a new window)","Is This the Big-Screen Future? Meet the Asus ZenBook Pro Duo;Asus ZenBook Pro Duo;Check Stock;$3,299.99;at Amazon;(Opens in a new window)","Lenovo IdeaPad Slim 7 Carbon Image;Lenovo IdeaPad Slim 7 Carbon;See It;$1,259.99;at Lenovo;(Opens in a new window)"
1,#EditorsRating:Editors' Choice;4.5;Editor Review,#EditorsRating:Editors' Choice;4.5;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.5;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review
2,#LaptopClass:Desktop Replacement,#LaptopClass:Desktop Replacement,#LaptopClass:Gaming,"#LaptopClass:Convertible 2-in-1, Ultraportable",#LaptopClass:Convertible 2-in-1,"#LaptopClass:Chromebook, Detachable 2-in-1",#LaptopClass:Desktop Replacement,#LaptopClass:Desktop Replacement,#LaptopClass:Desktop Replacement,#LaptopClass:Desktop Replacement,#LaptopClass:Ultraportable
3,#Processor:Intel Core i7-12700H,#Processor:Intel Core i7-12700H,#Processor:Intel Core i9-12900H,#Processor:Intel Core i7-1260P,#Processor:Intel Core i7-1255U,#Processor:Qualcomm Snapdragon 7c Gen 2,#Processor:AMD Ryzen 9 5900HX,#Processor:Intel Core i7-10870H,#Processor:AMD Ryzen 9 5900HX,#Processor:Intel Core i9-9980HK,#Processor:AMD Ryzen 7 5800U
4,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.55 GHz,#ProcessorSpeed:3.3 GHz,#ProcessorSpeed:2.2 GHz,#ProcessorSpeed:3.3 GHz,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:1.9 GHz
5,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:32 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:32 GB,#RamAsTested:32 GB,#RamAsTested:32 GB,#RamAsTested:32 GB,#RamAsTested:16 GB
6,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:eMMC Flash Memory,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD
7,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:128 GB,#BootDriveCapacityAsTested:2 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:512 GB
8,#ScreenSize:16 inches,#ScreenSize:15.6 inches,#ScreenSize:14 inches,#ScreenSize:13.3 inches,#ScreenSize:13.5 inches,#ScreenSize:13.3 inches,#ScreenSize:16 inches,#ScreenSize:15.6 inches,#ScreenSize:16 inches,#ScreenSize:15.6 inches,#ScreenSize:14 inches
9,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3456 by 2160,#NativeDisplayResolution:2800 by 1800,#NativeDisplayResolution:2880 by 1800,#NativeDisplayResolution:3000 by 2000,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3840 by 2160,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3840 by 2160,#NativeDisplayResolution:2880 by 1800
